Season,Name,Team,W,L,G,IP,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,xFIP,ID,release_pos_x,release_pos_z,release_pos_y,release_speed,pfx_x,pfx_z,release_spin_rate,spin_axis,n_pitches
2024,Seth Lugo,KCR,0,0,2,9.1,7.71,4.82,0.96,0.222,0.862,0.407,0.077,2.89,4.77,5.49,607625,-1.3056748071979436,5.485899742930591,54.48131426735219,87.21597043701799,-0.05245822622107969,0.34321336760925447,2591.259723561556,160.92799742847959,9.0
2018,Pedro Strop,CHC,0,0,1,1.0,18.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,-0.84,-0.84,467008,-1.161403912543153,6.005489067894132,54.47978135788262,89.67091954022987,-0.19,0.5003797468354431,2294.3899883585564,155.2968929804373,5.0
2018,Jesse Chavez,CHC,0,0,1,1.0,0.0,0.0,0.0,0.333,1.0,0.0,0.0,0.0,3.16,6.46,445926,-1.4444888287068383,5.259160460392688,54.620934326337164,90.66431956668924,-0.6064928909952606,0.8787610020311443,2302.771739130435,196.82532159783344,6.0
2018,Antonio Senzatela,COL,0,0,1,5.0,1.8,3.6,1.8,0.133,0.833,0.563,0.25,3.6,6.56,5.28,622608,-2.312015758371635,5.959179251477347,54.2772357189757,89.69901510177282,-0.13409717662508208,0.6293237032173342,2114.068540095956,166.8903479973736,4.0
2021,Jose Alvarez,SFG,0,0,1,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.17,8.46,501625,2.412536082474227,5.628969072164949,54.01747422680412,87.21556701030929,1.0364639175257733,0.7063092783505155,2001.5903361344538,137.2310924369748,5.0
2021,Giovanny Gallegos,STL,0,0,1,1.0,18.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,-0.83,-0.83,606149,-2.1816100323624594,6.581941747572816,54.77516990291262,90.31480582524273,-0.43057443365695797,0.8320550161812298,2384.373884833739,183.82076236820762,3.0
2022,Zach Plesac,CLE,0,0,1,1.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.89,-0.89,668676,-0.2936232558139535,6.213097674418605,54.39115348837209,87.64255813953488,-0.43472558139534884,0.9714418604651163,2030.2720930232558,192.19627906976743,5.0
2018,Scott Oberg,COL,1,0,4,3.2,24.55,0.0,0.0,0.8,0.5,0.2,0.0,4.91,-2.29,-1.84,623184,-1.4213450937155458,5.826934950385887,54.299007717750825,91.55700110253584,-0.009713340683572217,0.5626019845644984,2321.5842558425584,153.20176405733187,5.0
2021,Matt Barnes,BOS,0,0,1,1.0,9.0,18.0,0.0,0.333,1.0,0.667,0.0,0.0,7.17,7.17,598264,-1.5965723612622416,6.246147986942328,53.71146898803046,90.59662676822633,-0.32470076169749723,0.3307943416757345,2194.3275299238303,124.11099020674646,3.0
2023,Jake Diekman,TBR,0,0,1,1.0,18.0,9.0,0.0,0.5,1.0,0.5,0.0,0.0,2.26,3.91,518617,3.947429718875502,5.463012048192771,54.055512048192774,91.98383534136546,0.9418072289156626,0.6840562248995985,2253.969008264463,147.87396694214877,5.0
2023,Andrew Kittredge,TBR,0,0,1,1.0,9.0,0.0,0.0,0.333,1.0,0.667,0.0,0.0,1.26,2.91,552640,-1.5325268817204303,5.831720430107527,53.909354838709675,92.15806451612904,-0.453494623655914,0.6572043010752688,2465.6720430107525,177.19354838709677,3.0
2023,Shawn Armstrong,TBR,0,0,1,1.0,9.0,0.0,0.0,0.333,1.0,0.0,0.0,0.0,1.26,4.56,542888,-1.8971016311166875,5.725922208281054,53.87548306148055,92.69811794228356,-0.35018820577164367,0.901141781681305,2394.0501882057715,191.52823086574654,4.0
2022,Domingo Germán,NYY,0,0,1,1.0,9.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,7.11,10.07,593334,-1.5691674375578168,5.428566142460684,54.44178538390379,86.75763182238668,-0.7336077705827937,0.5295189639222941,2520.824074074074,160.14444444444445,4.0
2024,Pierce Johnson,ATL,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.17,7.7,572955,-2.167532751091703,6.133831877729258,54.664257641921395,88.09159388646287,0.3759825327510917,0.0842467248908297,2807.0207423580787,97.0556768558952,3.0
2024,Joe Jiménez,ATL,0,0,1,1.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,4.17,5.68,641729,-2.5235720844811755,5.654710743801653,53.2403305785124,89.34894398530763,-0.16503213957759413,0.8068044077134986,2284.6351102941176,171.58547794117646,3.0
2024,Yuki Matsui,SDP,0,0,1,1.0,9.0,0.0,0.0,0.333,1.0,0.0,0.0,0.0,1.17,4.19,673513,2.0737178265014298,5.971000953288846,54.600943755958056,88.25138226882746,0.09034318398474737,0.8590657769304099,2299.230695900858,179.70162059103907,6.0
2021,Tyler Rogers,SFG,1,0,4,3.1,2.7,2.7,0.0,0.357,1.0,0.5710000000000001,0.0,0.0,3.47,6.12,643511,-3.989007971656333,1.1973870682019485,54.600974313551816,78.0036315323295,0.38909654561558904,-0.1241718334809566,2023.8111313868612,233.41240875912408,3.0
2024,Michael Kopech,LAD,1,0,10,9.0,10.0,7.0,1.0,0.19,0.8490000000000001,0.318,0.071,3.0,4.72,5.63,656629,-2.3261679790026246,5.718136482939633,53.63181102362205,96.58792650918635,-0.546832895888014,1.2050568678915137,2592.7357830271217,190.71653543307087,4.0
2019,Yusmeiro Petit,OAK,0,0,1,2.2,6.75,0.0,3.37,0.143,1.0,0.375,0.25,3.37,6.59,4.7,433589,-1.3119700967458223,5.7823570800351805,53.59854001759015,85.06420404573439,-0.28720316622691294,1.2289270008795075,2149.175834084761,185.90237467018468,4.0
